12CM Global PTE. LTD.,Telecommunications & utilities
2S Water Incorporated,"Environment, energy & clean tech"
3D Bioprinting - Frontier Bio,Medtech & pharma
3D Planeta,Big data & analytics
3t International GmbH,Security
4Dage,Al & machine learning
6Degrees,Entertainment & media
fit,"Sports, fitness & wellness"
@cansei_vendi,eCommerce & retail
"A.V. Mapping Co., LTD",Al & machine learning
AC Biode,"Environment, energy & clean 1",,—_—
Acatena AG,ech eCommerce & retail
Accelerate3D,Hardware & loT
Acoutera Renovations,eCommerce & retail
ACTLD,Entertainment & media
ActualConversion inc.,Advertising. content & marketing
Adadot,Enterprise software solutions
ADDED,Hardware & loT
adELA,"Advertising, content & marketing"
Adeo PWA,eCommerce & retail
adesoft,Enterprise software solutions
"ADIPTA, Inc.",Al & machine learning
Agnostiq,Security
Agrikaido,"Environment, energy & clean tect"
Agrology,Al & machine learning
Al ALFRED,Enterprise software solutions
Al Music,Al & machine learning
Al On The Fly Technologies Pvt ...,Al & machine learning
AI2BIZ LAB,Al & machine learning
Al4Creative,Al & machine learning
Aibion Technologies,Medtech & pharma
Aidmics Biotechnology,Hardware & loT
Aimsio,Enterprise software solutions
indo,Al & machine learning
Airborne App,Advertising. content & marketing
AiZtech Inc.,Al & machine learning
Albicchiere,Hardware & loT
Alexsei,Al & machine learning,,———————
AlignVR,HR & recruitment,,|
aLocal Al,Travel & hospitality
Alpha Affinity,Big data & analytics
ALTRGO Limited,Travel & hospitality
Amber,Fintech
ANATA,Gaming. VR & AR
Anjali Leadership Inc.,Sports. fitness & wellness
Antip.io,Al & machine learning
Apino Turismo,Travel & hospitality
App Sec.cl,Enterprise software solutions
Appgent Technologies LLC,eCommerce & retail
Apres,Big data & analytics
Aquafort,"Environment, energy & clean tect"
Aqualit,"Environment, energy & clean tech"
AquaRealTime,"Environment, energy & clean tech"
Arcadia,"Sports, fitness & wellness"
Archimigo,Security
Artcryption,Entertainment & media
Artem Operandi,eCommerce & retail
ARTPOT,eCommerce & retail
ArtRatio,Hardware & loT
ARV,Social media & networking
Ask Attis,Al & machine learning
Ask Brien Inc,Education
AssetFlo Inc.,Hardware & loT
AudioTherapy,Medtech & pharma
Aumhum,"Sports, fitness & wellness"
AutoBuddy Technologies Inc.,Autotech
AutoGuardian by SmartCone,Hardware & loT
"Autokitch, LLC",Consumer goods
Autologyx,Legal & consultancy
Avalon Holographics,"Gaming, VR & AR"
awarewear,"Sports, fitness & wellness"
AWorld,"Environment, energy & clean tect"
AXIOM,Ediication
AZELL FT,Fintech
B2Storefront,eCommerce & retail
Back,Enterprise software solutions
Banjo Robinson,Education
"Bai ero,",Hardware & loT
BBox Sports,"Sports, fitness & wellness"
BCASH™,Fintech
Beam.city inc,"Advertising, content & marketing"
beautynbrushes,Social media & networking
Beelivery,Consumer goods
Beez,Fintech
BeltecHub Technologies Inc.,eCommerce & retail
Beme Creation,Al & machine learning
BeSeated Inc.,Travel & hospitality
Betmarkets,Fintech
betterthanPeter,Social media & networking
Betterworth,Fintech
BEYOND THE BOX,Education
Bhasha Life,eCommerce & retail
bickr,Social media & networking
ig Blue People,eCommerce & retail
Big Eyes for Math,Education
Big Shot Analytics,"Sports, fitness & wellness"
"BILDIT, LLC.",Enterprise software solutions
"Binary Bridge, SBC",Medtech & pharma
BioBox,Medtech & pharma
Biolnteractive Technologies,Medtech & pharma
Biomatcan,Medtech & pharma
Bionic-i,Medtech & pharma
BIOSOLVIT,"Environment, energy & clean tech"
Birdi,eCommerce & retail
Birdie,Al & machine learning
BisRing INC.,"Advertising, content & marketing"
bitsensing Inc.,Al & machine learning
Bityond,HR & recruitment
Blaise Transit,Al & machine learning
Bliinx,Enterprise software solutions
Blockforce,Enterprise software solutions
BlockQuake,Fintech
Bloom Care Solutions,Medtech & pharma
Blog. it,Hardware & loT
Bloxo,"Sports, fitness & wellness"
Blue - The Community Assis,HR & recruitment
stant Blue Halo BioMedical,Medtech & pharma
Blue Pier™,Fintech
Blue Twin Bit SRL,eCommerce & retail
Bnomics,Entertainment & media
Bode Canada,eCommerce & retail
BomaLink,HR & recruitment
BonoVox,Al & machine learning
BOOM IMAGE STUDIO,Al & machine learning
Booged Limited,Social media & networking
Boss Insights,Fintech
BoxKnight,Travel & hospitality
Brainwave Research Corpor,Hardware & loT
ation Brave Virtual Worlds,Hardware & loT
BreatheSuite,Medtech & pharma
BriefBid,Advertising. content & marketi
Brightlobe,Medtech & pharma
"Brim Technologies, LLC",eCommerce & retail
BroutonLab,Al & machine learning
Builtrix,Big data & analytics
Bursity,Education
Bus Miles,eCommerce & retail
Butterfly Decisions,Enterprise software solutions
Buyhive Ltd,eCommerce & retail
ByMe,eCommerce & retail
Caddle,Big data & analytics
Cadiat,Autotech
cANDIDLY,,Candidly,HR & recruitment
wT,,CandyJar,HR & recruitment
CanHostMe,Travel & hospitality
Canomiks,"Sports, fitness & wellness"
Capbase,Fintech
Capchase,Fintech
CareerGig,HR & recruitment
Careteam Technologies Inc.,Medtech & pharma
Caribou,Medtech & pharma
Carmodity,Autotech
Cashly,Fintech
CausEcho,Social media & networking
CCDR Group LLC,Medtech & pharma
Cell-Ed,Education
CENTIGRAM,Fintech
Central de Materiais,"Environment, energy & clean 1"
CEO Law Technology,ech Legal & consultancy
ChargeSim,Environment. eneray & clean tech
ChatFox,HR & recruitment
Chatspace,Al & machine learning
Cheapskate,eCommerce & retail
"ChiKeey, Inc.",Medtech & pharma
Chillwall Al,Al & machine learnin¢
inedapt,Entertainment & media
"Circle Optics, Inc.",Hardware & loT
CityGuyd,"Gaming, VR & AR"
ityoo,Enterprise software solutions
CleanO2,Environment. eneray & clean
Clevermee,tech Education
Cliengo,eCommerce & retail
Clik.ai,Fintech
Clockk.com Inc.,Enterprise software solutions
Cloudalize,Al & machine learning
Cloudbuddies,Enterprise software solutions
CloudConstable Incorporated,Al & machine learning
Cloudsmith,Enterprise software solutions
Clump,Enterprise software solutions
CMDX - Smartcurrency for Healt.,"Sports, fitness & wellness"
CML Team LTD,Enterprise software solutions
Cocurator,Social media & networking
Codestore - Reporting Studio,Enterprise software solutions
Coilpay technologies inc.,Fintech
Colleaga Health Solutions Inc,Philanthropy & social good
CommerceOwl,eCommerce & retail
Compete Running,"Sports, fitness & wellness"
Complete Farmer,"Environment, energy & clean tech"
CompliantCloud.com,Medtech & pharma
Compoze,Education
Comunicaciones Audiowe,Al & machine learning
b S.A comuniTECH,,eCommerce & retail
CONETBOOK,Entertainment & media
CONNECT2D TELEDENTIS,Medtech & pharma
TRY Connectivia Labs,Al & machine learnin¢
ConnectUpz,eCommerce & retail
"Conol, Inc.",Hardware & loT
CONSTRUEX,eCommerce & retail
Contact Tracer for Business,Enterprise software solutions
contingentSee / Moharram,Legal & consultancy
Vent... ContraForce,Security
Convexa,Al & machine learning
Cool Date Night,Entertainment & media
Copilot CX,Hardware & loT
Cosm Medical,Medtech & pharma
Craft Systems,Enterprise software solutions
Crashtest Security,Security
CREATORS AR,Advertising. content & marketing
Creatros Technologies Inc.,Al & machine learning
critec - creative agency,Gaming. VR & AR
Criteria Marathon,Medtech & pharma
CRMGamified,Enterprise software solutions
Cronapp,Enterprise software solutions
Crux OCM,Al & machine learning
Crypto-Arsenal,Fintech
Crystal-Matrix.com,Social media & networking
Cuckoo,Telecommunications & utilities
Cumul.io,Bia data & analytics
"Cumulus Digital Systems, Inc.",Hardware & loT
Cursalab,Education
Cyberworks Robotics,Al & machine learning
Cyno,"Sports, fitness & wellness"
DailyDesignist,Education
Daisu Games,"Gaming, VR & AR"
DataCurry,Al & machine learning
Datafeed,Big data & analytics
Dataraction Inc.,Education
Dealogikal Pte Ltd,eCommerce & retail
DecideAct,Enterprise software solutions
DediKey,Security
Deel,Fintech
Deepgram,Al & machine learning
Deepstash,Education
DeepSubconscious.ai Inc.,Medtech & pharma
Demodesk,Enterprise software solutions
Denvr Dataworks,"Environment, energy & clean tec"
Departmynt,eCommerce & retail
Deskflows,Enterprise software solutions
Detectum,eCommerce & retail
DevelopmentParadise,Enterprise software solutions
